Repo,Type,Period,ReleaseCount
daangn/seed-design,Daily,2021-10-15,4
daangn/seed-design,Daily,2022-03-10,1
daangn/seed-design,Daily,2022-10-07,1
daangn/seed-design,Daily,2022-11-18,2
daangn/seed-design,Daily,2022-11-24,4
daangn/seed-design,Daily,2022-11-25,4
daangn/seed-design,Daily,2022-11-29,2
daangn/seed-design,Daily,2022-12-08,3
daangn/seed-design,Daily,2022-12-09,2
daangn/seed-design,Daily,2023-01-18,2
daangn/seed-design,Daily,2023-02-09,6
daangn/seed-design,Daily,2023-02-13,2
daangn/seed-design,Daily,2023-02-14,1
daangn/seed-design,Daily,2023-02-17,2
daangn/seed-design,Daily,2023-02-20,3
daangn/seed-design,Daily,2023-02-21,1
daangn/seed-design,Daily,2023-02-23,1
daangn/seed-design,Daily,2023-03-09,1
daangn/seed-design,Daily,2023-03-10,1
daangn/seed-design,Daily,2023-04-14,1
daangn/seed-design,Daily,2023-04-19,2
daangn/seed-design,Daily,2023-04-25,1
daangn/seed-design,Daily,2023-05-23,1
daangn/seed-design,Daily,2023-07-05,1
daangn/seed-design,Daily,2023-07-17,1
daangn/seed-design,Daily,2023-07-31,1
daangn/seed-design,Daily,2024-01-29,1
daangn/seed-design,Daily,2025-02-19,17
daangn/seed-design,Daily,2025-02-20,8
daangn/seed-design,Daily,2025-02-25,31
daangn/seed-design,Daily,2025-03-04,8
daangn/seed-design,Daily,2025-03-05,6
daangn/seed-design,Daily,2025-03-10,7
daangn/seed-design,Daily,2025-03-14,16
daangn/seed-design,Daily,2025-03-18,8
daangn/seed-design,Daily,2025-03-25,1
daangn/seed-design,Daily,2025-04-07,1
daangn/seed-design,Daily,2025-04-17,9
daangn/seed-design,Daily,2025-04-18,9
daangn/seed-design,Daily,2025-04-22,18
daangn/seed-design,Daily,2025-04-23,10
daangn/seed-design,Daily,2025-04-24,2
daangn/seed-design,Daily,2025-04-28,29
daangn/seed-design,Daily,2025-04-29,2
daangn/seed-design,Daily,2025-05-02,8
daangn/seed-design,Daily,2025-05-08,9
daangn/seed-design,Daily,2025-05-19,9
daangn/seed-design,Daily,2025-05-21,4
daangn/seed-design,Daily,2025-05-29,31
daangn/seed-design,Daily,2025-05-30,22
daangn/seed-design,Weekly,2021-W42,4
daangn/seed-design,Weekly,2022-W11,1
daangn/seed-design,Weekly,2022-W41,1
daangn/seed-design,Weekly,2022-W47,2
daangn/seed-design,Weekly,2022-W48,8
daangn/seed-design,Weekly,2022-W49,2
daangn/seed-design,Weekly,2022-W50,5
daangn/seed-design,Weekly,2023-W10,2
daangn/seed-design,Weekly,2023-W15,1
daangn/seed-design,Weekly,2023-W16,2
daangn/seed-design,Weekly,2023-W17,1
daangn/seed-design,Weekly,2023-W21,1
daangn/seed-design,Weekly,2023-W27,1
daangn/seed-design,Weekly,2023-W29,1
daangn/seed-design,Weekly,2023-W3,2
daangn/seed-design,Weekly,2023-W31,1
